key;types;long_name;standard_name;units;conventions;coordinates;positive;valid_min;valid_max;format;_FillValue;axis;resolution;comment;default_value;flag_values;flag_meanings;reference;coordinate_reference_frame
string;string;string;string;string;string;string;string;numeric;numeric;string;numeric;string;numeric;string;string;string;string;string;string
PSA2;float32;practical salinity secondary sensor;;pss;;TIME DEPTH LATITUDE LONGITUDE;;33;37;%6.3f;1E+36;;0.001;;;;;;
PSAL;float32;practical salinity;sea_water_salinity;1;PSU;TIME DEPTH LATITUDE LONGITUDE;;-1.5;38;%7.4f;1E+36;;0.001;Ocean practical salinity (PSS-78);;;;;
PT1P;float32;total particulate phosphorus;;micromole/kg;;;;0;5;%5.2f;99.99;;;;;;;;
PTNP;float32;total particulate nitrogen;;milligram/m3;;;;0;5;%5.2f;99.99;;;;;;;;
PTPP;float32;total particulate phosphorus;;milligram/m3;;;;0;5;%5.2f;99.99;;;;;;;;
PTZF;float32;protozoa ppc flux;;milligram C/(m2.day);;;;0;99.999;%6.3f;99.999;;;;;;;;
PXAP;float32;prasinoxanthine;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
RDIN;float32;incident radiation;;watt/m2;;;;-500;500;%+5.1f;-999.9;;;;;;;;
REDS;float32;redox potential;;millivolt;;;;-110;200;%+4.0f;-999;;;;;;;;
RELH;float32;relative humidity;relative_humidity;%;;TIME DEPTH LATITUDE LONGITUDE;;0;100;%4.1f;1E+36;;0.001;Relative humidity;;;;;
SACC;float32;salinity accuracy;;.;;;;0;4;%2d;-9;;;;;;;;
SAND;float32;sand in the sediment;;%;;;;0;100;%6.2f;999.99;;;;;;;;
SCDT;float32;sea surf current dir. rel t. n;;degree;;;;0;360;%5.1f;999.9;;;;;;;;
SCSP;float32;sea surface current speed;;cm/s;;;;0;10;%5.2f;99.99;;;;;;;;
SECS;float32;seconds within minute;;ss;;;;0;59;%2.2d;99;;;;;;;;
SILT;float32;silt in the sediment;;%;;;;0;100;%6.2f;999.99;;;;;;;;
SIOF;float32;part. biogenic si flux;;milligram/(m2.day);;;;0;600;%7.3f;999.999;;;;;;;;
SIOS;float32;sediment biogenic sio2;;%;;;;0;100;%6.2f;999.99;;;;;;;;
SLCA;float32;silicate (sio4-si) content;;millimole/m3;;;;0;200;%7.3f;999.999;;;;;;;;
SLCP;float32;particulate organic silica(si);;millimole/m3;;;;0;1;%6.3f;99.999;;;;;;;;
SLCW;float32;silicate (sio4-si) content;;micromole/kg;;;;0;195;%5.1f;999.9;;;;;;;;
SLEV;float32;observed sea level;;meters;;;;0;6000;%8.3f;9999.999;;;;;;;;
SNCW;float32;number of sw synechococcus;;10+6 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
SOG;float32;speed over ground;;;;;;;;%4.1f;;;;;;;;;
SPDI;float32;indicated platform speed-ship;;meters/second;;;;0;90;%6.3f;99.999;;;;;;;;
